HELPER: imageUrl,DE: Experiment,INAKTIVE: location,DE: Kamera,INAKTIVE: pointOfView,DE: SceneID,sceneId,HELPER: sceneNumber,sceneIdCar,DE: Basisszenario,DE: Parken,parkingCategory,DE: Richtungsfreigabe,carriagewayDirection,DE: besondere Merkmale,bicycleStreetType,DE: FS-Breite,carriagewayWidth,carriagewayWidthNumber,DE: Verkehrsaufkommen,motorVehicleTrafficVolumen,voteCarScore,voteCar0Unsafe,voteCar1RatherUnsafe,voteCar2Save,voteCar3VerySave,voteCarCount,voteCarMeans,voteScore,vote0Unsafe,vote1RatherUnsafe,vote2Save,vote3VerySave,voteCount,voteMeans
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_1.jpg,SE,secondary_road,C,bicycle,01_SE_C_1,SE_C_1,1,SE_A_1,1,nein,no_parking,beidseitig,both_directions,-,none,breit,wide,todo_W,normal,low_traffic_volumen,"42,23","21,59","36,19","29,21","13,02","260,00","1,35","29,28","34,46","36,26","22,52","6,76",381,"1,02"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_10.jpg,SE,secondary_road,C,bicycle,01_SE_C_10,SE_C_10,10,,1,nein,no_parking,beidseitig,both_directions,Fahrradstraße-Hollandaise,green_surface,breit,wide,todo_W,autofrei,no_cars,,,,,,,,"98,33","0,84","0,84","5,22","93,11",409,"2,91"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_11.jpg,SE,secondary_road,C,bicycle,01_SE_C_11,SE_C_11,11,SE_A_11,1,nein,no_parking,Einbahnstraße,one_way,-,none,breit,wide,todo_W,normal,low_traffic_volumen,"31,53","21,34","47,13","23,57","7,96","257,00","1,20","33,4","25,57","41,03","27,63","5,77",422,"1,17"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_12.jpg,SE,secondary_road,C,bicycle,01_SE_C_12,SE_C_12,12,SE_A_12,1,nein,no_parking,Einbahnstraße,one_way,Fahrradstraße,bicycle_road,breit,wide,todo_W,normal,low_traffic_volumen,"40,63","15,19","44,17","29,68","10,95","240,00","1,36","56,72","9,38","33,9","43,07","13,65",393,"1,60"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_13.jpg,SE,secondary_road,C,bicycle,01_SE_C_13,SE_C_13,13,SE_A_13,1,nein,no_parking,Einbahnstraße,one_way,Spielstraße,living_street,breit,wide,todo_W,normal,low_traffic_volumen,"44,18","13,73","42,09","29,55","14,63","281,00","1,47","52,11","13,14","34,74","37,86","14,25",394,"1,54"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_14.jpg,SE,secondary_road,C,bicycle,01_SE_C_14,SE_C_14,14,SE_A_14,1,nein,no_parking,Einbahnstraße,one_way,Fahrradstraße-Sondermarkierung,markings_bike_icon_dooring_zone,breit,wide,todo_W,normal,low_traffic_volumen,"36,39","21,01","42,60","24,85","11,54","272,00","1,26","41,78","19,26","38,96","31,82","9,96",394,"1,34"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_16.jpg,SE,secondary_road,C,bicycle,01_SE_C_16,SE_C_16,16,SE_A_16,1,nein,no_parking,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,-,none,breit,wide,todo_W,normal,low_traffic_volumen,"32,46","20,33","47,21","22,95","9,51","244,00","1,23","31,92","28,48","39,6","23,84","8,08",426,"1,10"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_17.jpg,SE,secondary_road,C,bicycle,01_SE_C_17,SE_C_17,17,SE_A_17,1,nein,no_parking,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,Fahrradstraße,bicycle_road,breit,wide,todo_W,normal,low_traffic_volumen,"41,04","14,98","43,97","24,43","16,61","250,00","1,40","57,08","12,39","30,53","44,69","12,39",388,"1,56"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_18.jpg,SE,secondary_road,C,bicycle,01_SE_C_18,SE_C_18,18,SE_A_18,1,nein,no_parking,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,Spielstraße,living_street,breit,wide,todo_W,normal,low_traffic_volumen,"46,85","14,69","38,46","28,67","18,18","234,00","1,53","52,78","15,28","31,94","40,28","12,5",430,"1,48"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_19.jpg,SE,secondary_road,C,bicycle,01_SE_C_19,SE_C_19,19,SE_A_19,1,nein,no_parking,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,Fahrradstraße-Sondermarkierung,markings_bike_icon_dooring_zone,breit,wide,todo_W,normal,low_traffic_volumen,"41,40","21,28","37,32","25,95","15,45","282,00","1,41","40,17","20,74","39,08","31,22","8,95",393,"1,28"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_2.jpg,SE,secondary_road,C,bicycle,01_SE_C_2,SE_C_2,2,SE_A_2,1,nein,no_parking,beidseitig,both_directions,Fahrradstraße,bicycle_road,breit,wide,todo_W,normal,low_traffic_volumen,"42,81","18,06","39,13","27,76","15,05","242,00","1,40","51,02","13,47","35,51","38,78","12,24",420,"1,49"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_21.jpg,SE,secondary_road,C,bicycle,01_SE_C_21,SE_C_21,21,SE_A_21,2,Parken-einseitig,parking_one_side,beidseitig,both_directions,-,none,breit,wide,todo_W,normal,low_traffic_volumen,"36,39","22,97","40,64","26,50","9,89","239,00","1,24","22,46","44,7","32,84","18,01","4,45",407,"0,82"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_22.jpg,SE,secondary_road,C,bicycle,01_SE_C_22,SE_C_22,22,SE_A_22,2,Parken-einseitig,parking_one_side,beidseitig,both_directions,Fahrradstraße,bicycle_road,breit,wide,todo_W,normal,low_traffic_volumen,"39,30","18,21","42,49","22,54","16,76","286,00","1,38","42,39","18,84","38,76","33,4","8,99",402,"1,34"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_23.jpg,SE,secondary_road,C,bicycle,01_SE_C_23,SE_C_23,23,SE_A_23,2,Parken-einseitig,parking_one_side,beidseitig,both_directions,Spielstraße,living_street,breit,wide,todo_W,normal,low_traffic_volumen,"45,45","14,14","40,40","32,32","13,13","242,00","1,45","45,33","13,44","41,23","35,76","9,57",373,"1,42"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_24.jpg,SE,secondary_road,C,bicycle,01_SE_C_24,SE_C_24,24,SE_A_24,2,Parken-einseitig,parking_one_side,beidseitig,both_directions,Fahrradstraße-Sondermarkierung,markings_bike_icon_dooring_zone,breit,wide,todo_W,normal,low_traffic_volumen,"24,08","28,76","47,16","15,38","8,70","243,00","1,02","23,62","40,72","35,65","18,35","5,27",404,"0,90"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_26.jpg,SE,secondary_road,C,bicycle,01_SE_C_26,SE_C_26,26,,2,Parken-einseitig,parking_one_side,beidseitig,both_directions,-,none,breit,wide,todo_W,autofrei,no_cars,,,,,,,,"43,5","16,67","39,83","33,33","10,17",384,"1,37"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_27.jpg,SE,secondary_road,C,bicycle,01_SE_C_27,SE_C_27,27,,2,Parken-einseitig,parking_one_side,beidseitig,both_directions,Fahrradstraße,bicycle_road,breit,wide,todo_W,autofrei,no_cars,,,,,,,,"79,68","3,98","16,33","45,22","34,46",424,"2,09"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_28.jpg,SE,secondary_road,C,bicycle,01_SE_C_28,SE_C_28,28,,2,Parken-einseitig,parking_one_side,beidseitig,both_directions,Spielstraße,living_street,breit,wide,todo_W,autofrei,no_cars,,,,,,,,"75,38","5,66","18,95","47,49","27,89",404,"1,99"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_29.jpg,SE,secondary_road,C,bicycle,01_SE_C_29,SE_C_29,29,,2,Parken-einseitig,parking_one_side,beidseitig,both_directions,Fahrradstraße-Sondermarkierung,markings_bike_icon_dooring_zone,breit,wide,todo_W,autofrei,no_cars,,,,,,,,"64,31","11,23","24,45","36,56","27,75",384,"1,80"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_3.jpg,SE,secondary_road,C,bicycle,01_SE_C_3,SE_C_3,3,SE_A_3,1,nein,no_parking,beidseitig,both_directions,Spielstraße,living_street,breit,wide,todo_W,normal,low_traffic_volumen,"49,84","13,77","36,39","34,10","15,74","256,00","1,53","50,55","15,45",34,"39,07","11,48",386,"1,46"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_30.jpg,SE,secondary_road,C,bicycle,01_SE_C_30,SE_C_30,30,,2,Parken-einseitig,parking_one_side,beidseitig,both_directions,Fahrradstraße-Hollandaise,green_surface,breit,wide,todo_W,autofrei,no_cars,,,,,,,,"93,67","1,84","4,49","23,67",70,420,"2,61"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_31.jpg,SE,secondary_road,C,bicycle,01_SE_C_31,SE_C_31,31,SE_A_31,2,Parken-einseitig,parking_one_side,Einbahnstraße,one_way,-,none,breit,wide,todo_W,normal,low_traffic_volumen,"35,85","22,01","42,14","23,27","12,58","263,00","1,32","26,21","33,4","40,38","21,14","5,07",405,"0,97"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_32.jpg,SE,secondary_road,C,bicycle,01_SE_C_32,SE_C_32,32,SE_A_32,2,Parken-einseitig,parking_one_side,Einbahnstraße,one_way,Fahrradstraße,bicycle_road,breit,wide,todo_W,normal,low_traffic_volumen,"40,13","19,06","40,80","27,42","12,71","242,00","1,35","44,42","15,49","40,09","35,08","9,34",365,"1,33"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_33.jpg,SE,secondary_road,C,bicycle,01_SE_C_33,SE_C_33,33,SE_A_33,2,Parken-einseitig,parking_one_side,Einbahnstraße,one_way,Spielstraße,living_street,breit,wide,todo_W,normal,low_traffic_volumen,"42,77","16,92","40,31","26,15","16,62","262,00","1,39","44,82","15,43","39,75","36,79","8,03",407,"1,39"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_34.jpg,SE,secondary_road,C,bicycle,01_SE_C_34,SE_C_34,34,SE_A_34,2,Parken-einseitig,parking_one_side,Einbahnstraße,one_way,Fahrradstraße-Sondermarkierung,markings_bike_icon_dooring_zone,breit,wide,todo_W,normal,low_traffic_volumen,"32,24","18,75","49,01","21,38","10,86","256,00","1,23","26,58","35,59","37,84","20,5","6,08",377,"0,97"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_36.jpg,SE,secondary_road,C,bicycle,01_SE_C_36,SE_C_36,36,SE_A_36,2,Parken-einseitig,parking_one_side,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,-,none,breit,wide,todo_W,normal,low_traffic_volumen,"30,06","21,52","48,42","21,20","8,86","257,00","1,22","27,29","34,97","37,74","21,32","5,97",398,"0,99"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_37.jpg,SE,secondary_road,C,bicycle,01_SE_C_37,SE_C_37,37,SE_A_37,2,Parken-einseitig,parking_one_side,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,Fahrradstraße,bicycle_road,breit,wide,todo_W,normal,low_traffic_volumen,"42,77","15,96","41,27","29,22","13,55","276,00","1,40","42,05","19,11","38,83","31,59","10,46",434,"1,35"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_38.jpg,SE,secondary_road,C,bicycle,01_SE_C_38,SE_C_38,38,SE_A_38,2,Parken-einseitig,parking_one_side,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,Spielstraße,living_street,breit,wide,todo_W,normal,low_traffic_volumen,"43,32","10,42","46,25","28,34","14,98","258,00","1,48","39,23","17,91","42,86","28,57","10,66",410,"1,33"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_39.jpg,SE,secondary_road,C,bicycle,01_SE_C_39,SE_C_39,39,SE_A_39,2,Parken-einseitig,parking_one_side,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,Fahrradstraße-Sondermarkierung,markings_bike_icon_dooring_zone,breit,wide,todo_W,normal,low_traffic_volumen,"22,63","26,61","50,76","14,07","8,56","264,00","1,10","23,82","32,83","43,35","19,74","4,08",400,"0,99"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_4.jpg,SE,secondary_road,C,bicycle,01_SE_C_4,SE_C_4,4,SE_A_4,1,nein,no_parking,beidseitig,both_directions,Fahrradstraße-Sondermarkierung,markings_bike_icon_dooring_zone,breit,wide,todo_W,normal,low_traffic_volumen,"39,38","18,44","42,19","26,25","13,13","270,00","1,35","35,39","27,16","37,45","28,6","6,79",406,"1,15"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_41.jpg,SE,secondary_road,C,bicycle,01_SE_C_41,SE_C_41,41,SE_A_41,3,Parken-beidseitig,parking_both_sides,beidseitig,both_directions,-,none,breit,wide,todo_W,normal,low_traffic_volumen,"34,97","22,09","42,94","24,23","10,74","272,00","1,31","21,63","37,97","40,4","17,44","4,19",387,"0,90"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_42.jpg,SE,secondary_road,C,bicycle,01_SE_C_42,SE_C_42,42,SE_A_42,3,Parken-beidseitig,parking_both_sides,beidseitig,both_directions,Fahrradstraße,bicycle_road,breit,wide,todo_W,normal,low_traffic_volumen,"35,81","24,38","39,81","25,93","9,88","273,00","1,26","45,03","16,56","38,41","35,1","9,93",391,"1,37"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_43.jpg,SE,secondary_road,C,bicycle,01_SE_C_43,SE_C_43,43,SE_A_43,3,Parken-beidseitig,parking_both_sides,beidseitig,both_directions,Spielstraße,living_street,breit,wide,todo_W,normal,low_traffic_volumen,"42,95","18,79","38,26","30,20","12,75","256,00","1,38","45,82","19,12","35,06","35,86","9,96",419,"1,36"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_44.jpg,SE,secondary_road,C,bicycle,01_SE_C_44,SE_C_44,44,SE_A_44,3,Parken-beidseitig,parking_both_sides,beidseitig,both_directions,Fahrradstraße-Sondermarkierung,markings_bike_icon_dooring_zone,breit,wide,todo_W,normal,low_traffic_volumen,"23,50","28,31","48,19","14,16","9,34","261,00","1,08","21,74","37,83","40,43","18,48","3,26",396,"0,88"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_46.jpg,SE,secondary_road,C,bicycle,01_SE_C_46,SE_C_46,46,,3,Parken-beidseitig,parking_both_sides,beidseitig,both_directions,-,none,breit,wide,todo_W,autofrei,no_cars,,,,,,,,"40,17","20,74","39,08","28,82","11,35",411,"1,31"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_47.jpg,SE,secondary_road,C,bicycle,01_SE_C_47,SE_C_47,47,,3,Parken-beidseitig,parking_both_sides,beidseitig,both_directions,Fahrradstraße,bicycle_road,breit,wide,todo_W,autofrei,no_cars,,,,,,,,"74,54","2,63","22,83","45,25","29,29",417,"2,02"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_48.jpg,SE,secondary_road,C,bicycle,01_SE_C_48,SE_C_48,48,,3,Parken-beidseitig,parking_both_sides,beidseitig,both_directions,Spielstraße,living_street,breit,wide,todo_W,autofrei,no_cars,,,,,,,,"69,68","5,59","24,73","43,44","26,24",395,"1,89"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_49.jpg,SE,secondary_road,C,bicycle,01_SE_C_49,SE_C_49,49,,3,Parken-beidseitig,parking_both_sides,beidseitig,both_directions,Fahrradstraße-Sondermarkierung,markings_bike_icon_dooring_zone,breit,wide,todo_W,autofrei,no_cars,,,,,,,,"54,83","14,91","30,26","37,94","16,89",394,"1,56"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_50.jpg,SE,secondary_road,C,bicycle,01_SE_C_50,SE_C_50,50,,3,Parken-beidseitig,parking_both_sides,beidseitig,both_directions,Fahrradstraße-Hollandaise,green_surface,breit,wide,todo_W,autofrei,no_cars,,,,,,,,"92,42","2,87","4,71","22,13","70,29",397,"2,59"
